dataset,split,subtype_label,count
brain_organoid_organoidnet,all,A1A-1,352
brain_organoid_organoidnet,all,B2A-2,351
brain_organoid_organoidnet,all,TH2-7,352
brain_organoid_organoidnet,all,wt2D,352
human_intestine_clorg,test,cyst,1294
human_intestine_clorg,test,early_budding,548
human_intestine_clorg,test,late_budding,401
human_intestine_clorg,test,spheroid,225
human_intestine_clorg,train,cyst,9564
human_intestine_clorg,train,early_budding,4466
human_intestine_clorg,train,late_budding,2670
human_intestine_clorg,train,spheroid,1837
human_intestine_clorg,val,cyst,1062
human_intestine_clorg,val,early_budding,496
human_intestine_clorg,val,late_budding,296
human_intestine_clorg,val,spheroid,204
mouse_intestine_orgaquant,train,organoid0_cyst,10627
mouse_intestine_orgaquant,train,organoid1_early,4962
mouse_intestine_orgaquant,train,organoid3_late,2966
mouse_intestine_orgaquant,train,spheroid,2041
mouse_intestine_orgaquant,val,organoid0_cyst,1295
mouse_intestine_orgaquant,val,organoid1_early,548
mouse_intestine_orgaquant,val,organoid3_late,401
mouse_intestine_orgaquant,val,spheroid,225
